Wall time,Step,Value
1734130051.9864345,0,4.847132368013263e-05
1734130560.6626804,1,4.251257996656932e-05
1734131068.4623363,2,4.015642844024114e-05
1734131576.1132538,3,3.846125764539465e-05
1734132081.0393236,4,3.722730616573244e-05
1734132584.929474,5,3.604025550885126e-05
1734133088.3919485,6,3.5170236515114084e-05
1734133592.4638293,7,3.4407461498631164e-05
1734134096.9004126,8,3.395231033209711e-05
1734134601.337351,9,3.350376209709793e-05
1734135105.802903,10,3.2771131373010576e-05
1734135610.2143416,11,3.251285670557991e-05
1734136114.8838432,12,3.202045991201885e-05
1734136619.9464989,13,3.141766137559898e-05
1734137123.8266034,14,3.105799623881467e-05
1734137628.111947,15,3.0685529054608196e-05
1734138132.2198129,16,3.0041626814636402e-05
1734138636.5294502,17,2.9549615646828897e-05
1734139140.7430055,18,2.88746250589611e-05
1734139644.8446577,19,2.844773916876875e-05
